sentence,extracted_noun,extracted_adj,language,city,osm_key,osm_value,target_label
i am looking for a historic tea house near saddar.,tea house,historic,en,Karachi,amenity,cafe,amenity__cafe
is there any luxury tuck shop open in rawalpindi right now?,tuck shop,luxury,en,Rawalpindi,shop,convenience,shop__convenience
we visited the most best eatery in rawalpindi yesterday.,eatery,best,en,Rawalpindi,amenity,restaurant,amenity__restaurant
hum ne f-11 markaz main aik purana boutique dekha.,boutique,purana,ur,Islamabad,shop,clothes,shop__clothes
the gulberg in lahore has an oldest dining place.,dining place,oldest,en,Lahore,amenity,restaurant,amenity__restaurant
the karkhano in peshawar has an oldest police station.,police station,oldest,en,Peshawar,amenity,police,amenity__police
is there any biggest cafe open in islamabad right now?,cafe,biggest,en,Islamabad,amenity,cafe,amenity__cafe
karachi ke tariq road main aik bohat sasta police station hai.,police station,sasta,ur,Karachi,amenity,police,amenity__police
kya karachi main koi sasta ground khula hai?,ground,sasta,ur,Karachi,leisure,park,leisure__park
suna hai ke peshawar main sab se mehnga sair gah wahan hai.,sair gah,mehnga,ur,Peshawar,leisure,park,leisure__park
hayatabad main jo silai markaz hai wo bohat bada hai.,silai markaz,bada,ur,Peshawar,shop,tailor,shop__tailor
we visited the most affordable garment shop in rawalpindi yesterday.,garment shop,affordable,en,Rawalpindi,shop,clothes,shop__clothes
"avoid the tailor shop in saddar, it is not nearby.",tailor shop,nearby,en,Karachi,shop,tailor,shop__tailor
there is a famous fashion outlet in blue area which is very crowded.,fashion outlet,crowded,en,Islamabad,shop,clothes,shop__clothes
i am looking for a affordable lodge near liberty market.,lodge,affordable,en,Lahore,tourism,hotel,tourism__hotel
the bahria town in rawalpindi has an popular guest house.,guest house,popular,en,Rawalpindi,tourism,hotel,tourism__hotel
the raja bazaar in rawalpindi has an oldest resort.,resort,oldest,en,Rawalpindi,tourism,hotel,tourism__hotel
we visited the most crowded clothing store in peshawar yesterday.,clothing store,crowded,en,Peshawar,shop,clothes,shop__clothes
i am looking for a nearby police station near f-7.,police station,nearby,en,Islamabad,amenity,police,amenity__police
does karachi have any cheap dining place for tourists?,dining place,cheap,en,Karachi,amenity,restaurant,amenity__restaurant
"avoid the playground in university road, it is not biggest.",playground,biggest,en,Peshawar,leisure,park,leisure__park
"avoid the garden in saddar, it is not crowded.",garden,crowded,en,Rawalpindi,leisure,park,leisure__park
karkhano main jo park hai wo bohat behtareen hai.,park,behtareen,ur,Peshawar,leisure,park,leisure__park
"avoid the clothing store in tariq road, it is not oldest.",clothing store,oldest,en,Karachi,shop,clothes,shop__clothes
the liberty market in lahore has an biggest stitching center.,stitching center,biggest,en,Lahore,shop,tailor,shop__tailor
there is a famous jogging track in raja bazaar which is very biggest.,jogging track,biggest,en,Rawalpindi,leisure,park,leisure__park
agar saaf suthra boutique dhoond rahay ho to blue area jao.,boutique,saaf suthra,ur,Islamabad,shop,clothes,shop__clothes
does islamabad have any affordable grocery store for tourists?,grocery store,affordable,en,Islamabad,shop,convenience,shop__convenience
can you recommend a nearby stitching center around tariq road?,stitching center,nearby,en,Karachi,shop,tailor,shop__tailor
saddar main jo cloth market hai wo bohat pur-sukoon hai.,cloth market,pur-sukoon,ur,Peshawar,shop,clothes,shop__clothes
g-9 main jo thana hai wo bohat qareebi hai.,thana,qareebi,ur,Islamabad,amenity,police,amenity__police
"avoid the playground in f-7, it is not biggest.",playground,biggest,en,Islamabad,leisure,park,leisure__park
mujhay liberty market ke qareeb koi purana darzi chahiye.,darzi,purana,ur,Lahore,shop,tailor,shop__tailor
hum ne bahria town main aik saaf suthra darzi dekha.,darzi,saaf suthra,ur,Rawalpindi,shop,tailor,shop__tailor
suna hai ke karachi main sab se rush wala chai wala wahan hai.,chai wala,rush wala,ur,Karachi,amenity,cafe,amenity__cafe
there is a famous grocery store in saddar which is very popular.,grocery store,popular,en,Karachi,shop,convenience,shop__convenience
hum ne f-7 main aik khubsurat cafe dekha.,cafe,khubsurat,ur,Islamabad,amenity,cafe,amenity__cafe
suna hai ke islamabad main sab se behtareen fashion center wahan hai.,fashion center,behtareen,ur,Islamabad,shop,clothes,shop__clothes
f-11 markaz wala musafir khana kaafi purana hai.,musafir khana,purana,ur,Islamabad,tourism,hotel,tourism__hotel
can you recommend a biggest clothing store around hayatabad?,clothing store,biggest,en,Peshawar,shop,clothes,shop__clothes
is there any biggest fashion outlet open in rawalpindi right now?,fashion outlet,biggest,en,Rawalpindi,shop,clothes,shop__clothes
we visited the most biggest eatery in islamabad yesterday.,eatery,biggest,en,Islamabad,amenity,restaurant,amenity__restaurant
we visited the most clean garden in karachi yesterday.,garden,clean,en,Karachi,leisure,park,leisure__park
"avoid the guest house in gulshan, it is not biggest.",guest house,biggest,en,Karachi,tourism,hotel,tourism__hotel
we visited the most oldest convenience store in karachi yesterday.,convenience store,oldest,en,Karachi,shop,convenience,shop__convenience
the gulshan in karachi has an biggest playground.,playground,biggest,en,Karachi,leisure,park,leisure__park
hum ne g-9 main aik mashoor cafe dekha.,cafe,mashoor,ur,Islamabad,amenity,cafe,amenity__cafe
hum ne commercial market main aik purana chai wala dekha.,chai wala,purana,ur,Rawalpindi,amenity,cafe,amenity__cafe
does islamabad have any oldest garment shop for tourists?,garment shop,oldest,en,Islamabad,shop,clothes,shop__clothes
hum ne hayatabad main aik mehnga guest house dekha.,guest house,mehnga,ur,Peshawar,tourism,hotel,tourism__hotel
does islamabad have any nearby resort for tourists?,resort,nearby,en,Islamabad,tourism,hotel,tourism__hotel
agar purana quetta tea hotel dhoond rahay ho to liberty market jao.,quetta tea hotel,purana,ur,Lahore,amenity,cafe,amenity__cafe
kya lahore main koi bada thana khula hai?,thana,bada,ur,Lahore,amenity,police,amenity__police
hum ne g-9 main aik saaf suthra sair gah dekha.,sair gah,saaf suthra,ur,Islamabad,leisure,park,leisure__park
suna hai ke rawalpindi main sab se lajawab tikka shop wahan hai.,tikka shop,lajawab,ur,Rawalpindi,amenity,restaurant,amenity__restaurant
the blue area in islamabad has an crowded tailor shop.,tailor shop,crowded,en,Islamabad,shop,tailor,shop__tailor
is there any nearby precinct open in rawalpindi right now?,precinct,nearby,en,Rawalpindi,amenity,police,amenity__police
i am looking for a historic garment shop near clifton.,garment shop,historic,en,Karachi,shop,clothes,shop__clothes
clifton main jo darzi hai wo bohat mashoor hai.,darzi,mashoor,ur,Karachi,shop,tailor,shop__tailor
i am looking for a affordable boutique near g-9.,boutique,affordable,en,Islamabad,shop,clothes,shop__clothes
gulshan wala silai markaz kaafi khubsurat hai.,silai markaz,khubsurat,ur,Karachi,shop,tailor,shop__tailor
saddar wala darzi kaafi mehnga hai.,darzi,mehnga,ur,Karachi,shop,tailor,shop__tailor
kya peshawar main koi saaf suthra bagh khula hai?,bagh,saaf suthra,ur,Peshawar,leisure,park,leisure__park
suna hai ke rawalpindi main sab se mashoor khanay ka center wahan hai.,khanay ka center,mashoor,ur,Rawalpindi,amenity,restaurant,amenity__restaurant
we visited the most popular restaurant in karachi yesterday.,restaurant,popular,en,Karachi,amenity,restaurant,amenity__restaurant
there is a famous coffee shop in blue area which is very best.,coffee shop,best,en,Islamabad,amenity,cafe,amenity__cafe
can you recommend a affordable boutique around dha?,boutique,affordable,en,Lahore,shop,clothes,shop__clothes
"avoid the garden in saddar, it is not oldest.",garden,oldest,en,Rawalpindi,leisure,park,leisure__park
karachi ke gulshan main aik bohat saaf suthra hotel hai.,hotel,saaf suthra,ur,Karachi,amenity,restaurant,amenity__restaurant
there is a famous stitching center in karkhano which is very biggest.,stitching center,biggest,en,Peshawar,shop,tailor,shop__tailor
is there any oldest guest house open in lahore right now?,guest house,oldest,en,Lahore,tourism,hotel,tourism__hotel
the g-9 in islamabad has an popular convenience store.,convenience store,popular,en,Islamabad,shop,convenience,shop__convenience
suna hai ke karachi main sab se rush wala chowki wahan hai.,chowki,rush wala,ur,Karachi,amenity,police,amenity__police
peshawar ke university road main aik bohat mashoor cafe hai.,cafe,mashoor,ur,Peshawar,amenity,cafe,amenity__cafe
agar lajawab quetta tea hotel dhoond rahay ho to commercial market jao.,quetta tea hotel,lajawab,ur,Rawalpindi,amenity,cafe,amenity__cafe
can you recommend a luxury coffee shop around centaurus?,coffee shop,luxury,en,Islamabad,amenity,cafe,amenity__cafe
suna hai ke islamabad main sab se sasta silai markaz wahan hai.,silai markaz,sasta,ur,Islamabad,shop,tailor,shop__tailor
tariq road wala kapron ki dukaan kaafi mehnga hai.,kapron ki dukaan,mehnga,ur,Karachi,shop,clothes,shop__clothes
there is a famous tuck shop in university road which is very nearby.,tuck shop,nearby,en,Peshawar,shop,convenience,shop__convenience
we visited the most famous coffee shop in rawalpindi yesterday.,coffee shop,famous,en,Rawalpindi,amenity,cafe,amenity__cafe
raja bazaar main jo ground hai wo bohat behtareen hai.,ground,behtareen,ur,Rawalpindi,leisure,park,leisure__park
we visited the most popular hotel in rawalpindi yesterday.,hotel,popular,en,Rawalpindi,tourism,hotel,tourism__hotel
peshawar ke university road main aik bohat sasta chowki hai.,chowki,sasta,ur,Peshawar,amenity,police,amenity__police
"avoid the bistro in karkhano, it is not cheap.",bistro,cheap,en,Peshawar,amenity,restaurant,amenity__restaurant
gulberg wala ground kaafi qareebi hai.,ground,qareebi,ur,Lahore,leisure,park,leisure__park
"avoid the tea house in saddar, it is not luxury.",tea house,luxury,en,Rawalpindi,amenity,cafe,amenity__cafe
"avoid the stitching center in gulshan, it is not crowded.",stitching center,crowded,en,Karachi,shop,tailor,shop__tailor
hum ne saddar main aik rush wala police station dekha.,police station,rush wala,ur,Rawalpindi,amenity,police,amenity__police
suna hai ke lahore main sab se qareebi ground wahan hai.,ground,qareebi,ur,Lahore,leisure,park,leisure__park
mujhay blue area ke qareeb koi sasta musafir khana chahiye.,musafir khana,sasta,ur,Islamabad,tourism,hotel,tourism__hotel
we visited the most nearby resort in lahore yesterday.,resort,nearby,en,Lahore,tourism,hotel,tourism__hotel
lahore ke liberty market main aik bohat mehnga cloth market hai.,cloth market,mehnga,ur,Lahore,shop,clothes,shop__clothes
karkhano main jo khanay ka center hai wo bohat sasta hai.,khanay ka center,sasta,ur,Peshawar,amenity,restaurant,amenity__restaurant
the g-9 in islamabad has an cheap fashion outlet.,fashion outlet,cheap,en,Islamabad,shop,clothes,shop__clothes
mujhay gulshan ke qareeb koi behtareen khanay ka center chahiye.,khanay ka center,behtareen,ur,Karachi,amenity,restaurant,amenity__restaurant
there is a famous clothing store in g-9 which is very popular.,clothing store,popular,en,Islamabad,shop,clothes,shop__clothes
is there any clean lodge open in peshawar right now?,lodge,clean,en,Peshawar,tourism,hotel,tourism__hotel
agar sasta guest house dhoond rahay ho to defence jao.,guest house,sasta,ur,Karachi,tourism,hotel,tourism__hotel
can you recommend a cheap mini mart around hayatabad?,mini mart,cheap,en,Peshawar,shop,convenience,shop__convenience
the blue area in islamabad has an nearby guest house.,guest house,nearby,en,Islamabad,tourism,hotel,tourism__hotel
i am looking for a best dining place near g-9.,dining place,best,en,Islamabad,amenity,restaurant,amenity__restaurant
is there any popular guest house open in lahore right now?,guest house,popular,en,Lahore,tourism,hotel,tourism__hotel
the hayatabad in peshawar has an clean police station.,police station,clean,en,Peshawar,amenity,police,amenity__police
i am looking for a cheap jogging track near defence.,jogging track,cheap,en,Karachi,leisure,park,leisure__park
agar pur-sukoon thana dhoond rahay ho to g-9 jao.,thana,pur-sukoon,ur,Islamabad,amenity,police,amenity__police
mujhay centaurus ke qareeb koi purana boutique chahiye.,boutique,purana,ur,Islamabad,shop,clothes,shop__clothes
kya rawalpindi main koi sasta silai markaz khula hai?,silai markaz,sasta,ur,Rawalpindi,shop,tailor,shop__tailor
hum ne liberty market main aik khubsurat cafe dekha.,cafe,khubsurat,ur,Lahore,amenity,cafe,amenity__cafe
there is a famous cafe in mall road which is very clean.,cafe,clean,en,Lahore,amenity,cafe,amenity__cafe
there is a famous hotel in gulshan which is very historic.,hotel,historic,en,Karachi,tourism,hotel,tourism__hotel
suna hai ke rawalpindi main sab se lajawab kapron ki dukaan wahan hai.,kapron ki dukaan,lajawab,ur,Rawalpindi,shop,clothes,shop__clothes
anarkali main jo chowki hai wo bohat saaf suthra hai.,chowki,saaf suthra,ur,Lahore,amenity,police,amenity__police
we visited the most affordable stitching center in karachi yesterday.,stitching center,affordable,en,Karachi,shop,tailor,shop__tailor
university road wala chowki kaafi pur-sukoon hai.,chowki,pur-sukoon,ur,Peshawar,amenity,police,amenity__police
is there any famous stitching center open in peshawar right now?,stitching center,famous,en,Peshawar,shop,tailor,shop__tailor
the tariq road in karachi has an clean police station.,police station,clean,en,Karachi,amenity,police,amenity__police
does peshawar have any historic cafe for tourists?,cafe,historic,en,Peshawar,amenity,cafe,amenity__cafe
peshawar ke saddar main aik bohat mehnga cloth market hai.,cloth market,mehnga,ur,Peshawar,shop,clothes,shop__clothes
does rawalpindi have any oldest tea house for tourists?,tea house,oldest,en,Rawalpindi,amenity,cafe,amenity__cafe
peshawar ke saddar main aik bohat qareebi cafe hai.,cafe,qareebi,ur,Peshawar,amenity,cafe,amenity__cafe
suna hai ke islamabad main sab se saaf suthra ground wahan hai.,ground,saaf suthra,ur,Islamabad,leisure,park,leisure__park
agar saaf suthra fashion center dhoond rahay ho to tariq road jao.,fashion center,saaf suthra,ur,Karachi,shop,clothes,shop__clothes
hum ne saddar main aik bada police station dekha.,police station,bada,ur,Rawalpindi,amenity,police,amenity__police
is there any popular convenience store open in rawalpindi right now?,convenience store,popular,en,Rawalpindi,shop,convenience,shop__convenience
does peshawar have any luxury jogging track for tourists?,jogging track,luxury,en,Peshawar,leisure,park,leisure__park
kya rawalpindi main koi sasta guest house khula hai?,guest house,sasta,ur,Rawalpindi,tourism,hotel,tourism__hotel
f-11 markaz wala hotel kaafi bada hai.,hotel,bada,ur,Islamabad,amenity,restaurant,amenity__restaurant
the hayatabad in peshawar has an biggest hotel.,hotel,biggest,en,Peshawar,tourism,hotel,tourism__hotel
there is a famous stitching center in f-7 which is very affordable.,stitching center,affordable,en,Islamabad,shop,tailor,shop__tailor
can you recommend a biggest resort around saddar?,resort,biggest,en,Karachi,tourism,hotel,tourism__hotel
is there any oldest playground open in rawalpindi right now?,playground,oldest,en,Rawalpindi,leisure,park,leisure__park
suna hai ke lahore main sab se khubsurat police station wahan hai.,police station,khubsurat,ur,Lahore,amenity,police,amenity__police
kya lahore main koi mehnga cafe khula hai?,cafe,mehnga,ur,Lahore,amenity,cafe,amenity__cafe
suna hai ke peshawar main sab se mehnga silai markaz wahan hai.,silai markaz,mehnga,ur,Peshawar,shop,tailor,shop__tailor
suna hai ke peshawar main sab se mehnga khanay ka center wahan hai.,khanay ka center,mehnga,ur,Peshawar,amenity,restaurant,amenity__restaurant
karachi ke clifton main aik bohat khubsurat police station hai.,police station,khubsurat,ur,Karachi,amenity,police,amenity__police
i am looking for a famous police station near clifton.,police station,famous,en,Karachi,amenity,police,amenity__police
the anarkali in lahore has an cheap precinct.,precinct,cheap,en,Lahore,amenity,police,amenity__police
does lahore have any oldest stitching center for tourists?,stitching center,oldest,en,Lahore,shop,tailor,shop__tailor
the gulberg in lahore has an cheap coffee shop.,coffee shop,cheap,en,Lahore,amenity,cafe,amenity__cafe
there is a famous tailor shop in saddar which is very popular.,tailor shop,popular,en,Peshawar,shop,tailor,shop__tailor
"avoid the stitching center in centaurus, it is not oldest.",stitching center,oldest,en,Islamabad,shop,tailor,shop__tailor
i am looking for a luxury guest house near liberty market.,guest house,luxury,en,Lahore,tourism,hotel,tourism__hotel
mujhay saddar ke qareeb koi sasta sair gah chahiye.,sair gah,sasta,ur,Rawalpindi,leisure,park,leisure__park
agar qareebi silai markaz dhoond rahay ho to saddar jao.,silai markaz,qareebi,ur,Peshawar,shop,tailor,shop__tailor
can you recommend a famous eatery around blue area?,eatery,famous,en,Islamabad,amenity,restaurant,amenity__restaurant
"avoid the garden in karkhano, it is not popular.",garden,popular,en,Peshawar,leisure,park,leisure__park
does rawalpindi have any best convenience store for tourists?,convenience store,best,en,Rawalpindi,shop,convenience,shop__convenience
does karachi have any crowded coffee shop for tourists?,coffee shop,crowded,en,Karachi,amenity,cafe,amenity__cafe
kya islamabad main koi rush wala thana khula hai?,thana,rush wala,ur,Islamabad,amenity,police,amenity__police
"avoid the police station in raja bazaar, it is not luxury.",police station,luxury,en,Rawalpindi,amenity,police,amenity__police
"avoid the convenience store in blue area, it is not crowded.",convenience store,crowded,en,Islamabad,shop,convenience,shop__convenience
does islamabad have any clean restaurant for tourists?,restaurant,clean,en,Islamabad,amenity,restaurant,amenity__restaurant
"avoid the police station in raja bazaar, it is not cheap.",police station,cheap,en,Rawalpindi,amenity,police,amenity__police
mujhay saddar ke qareeb koi sasta cafe chahiye.,cafe,sasta,ur,Karachi,amenity,cafe,amenity__cafe
agar mashoor darzi dhoond rahay ho to centaurus jao.,darzi,mashoor,ur,Islamabad,shop,tailor,shop__tailor
anarkali wala ground kaafi lajawab hai.,ground,lajawab,ur,Lahore,leisure,park,leisure__park
can you recommend a cheap boutique around f-7?,boutique,cheap,en,Islamabad,shop,clothes,shop__clothes
agar mashoor quetta tea hotel dhoond rahay ho to centaurus jao.,quetta tea hotel,mashoor,ur,Islamabad,amenity,cafe,amenity__cafe
hum ne f-11 markaz main aik qareebi chaye khana dekha.,chaye khana,qareebi,ur,Islamabad,amenity,cafe,amenity__cafe
can you recommend a nearby tuck shop around saddar?,tuck shop,nearby,en,Karachi,shop,convenience,shop__convenience
kya karachi main koi behtareen hotel khula hai?,hotel,behtareen,ur,Karachi,tourism,hotel,tourism__hotel
karkhano main jo guest house hai wo bohat lajawab hai.,guest house,lajawab,ur,Peshawar,tourism,hotel,tourism__hotel
lahore ke mall road main aik bohat lajawab darzi hai.,darzi,lajawab,ur,Lahore,shop,tailor,shop__tailor
agar bada police station dhoond rahay ho to dha jao.,police station,bada,ur,Lahore,amenity,police,amenity__police
islamabad ke f-7 main aik bohat mashoor darzi hai.,darzi,mashoor,ur,Islamabad,shop,tailor,shop__tailor
kya lahore main koi lajawab sair gah khula hai?,sair gah,lajawab,ur,Lahore,leisure,park,leisure__park
suna hai ke rawalpindi main sab se behtareen general store wahan hai.,general store,behtareen,ur,Rawalpindi,shop,convenience,shop__convenience
we visited the most crowded precinct in lahore yesterday.,precinct,crowded,en,Lahore,amenity,police,amenity__police
can you recommend a affordable coffee shop around centaurus?,coffee shop,affordable,en,Islamabad,amenity,cafe,amenity__cafe
raja bazaar wala ground kaafi saaf suthra hai.,ground,saaf suthra,ur,Rawalpindi,leisure,park,leisure__park
mujhay anarkali ke qareeb koi pur-sukoon tikka shop chahiye.,tikka shop,pur-sukoon,ur,Lahore,amenity,restaurant,amenity__restaurant
does islamabad have any historic dining place for tourists?,dining place,historic,en,Islamabad,amenity,restaurant,amenity__restaurant
i am looking for a famous precinct near karkhano.,precinct,famous,en,Peshawar,amenity,police,amenity__police
the bahria town in rawalpindi has an famous precinct.,precinct,famous,en,Rawalpindi,amenity,police,amenity__police
the dha in lahore has an cheap grocery store.,grocery store,cheap,en,Lahore,shop,convenience,shop__convenience
suna hai ke peshawar main sab se mashoor musafir khana wahan hai.,musafir khana,mashoor,ur,Peshawar,tourism,hotel,tourism__hotel
the university road in peshawar has an famous resort.,resort,famous,en,Peshawar,tourism,hotel,tourism__hotel
does peshawar have any famous park for tourists?,park,famous,en,Peshawar,leisure,park,leisure__park
i am looking for a best garden near saddar.,garden,best,en,Karachi,leisure,park,leisure__park
mujhay commercial market ke qareeb koi lajawab dukaan chahiye.,dukaan,lajawab,ur,Rawalpindi,shop,convenience,shop__convenience
hum ne hayatabad main aik bada ground dekha.,ground,bada,ur,Peshawar,leisure,park,leisure__park
"avoid the stitching center in saddar, it is not affordable.",stitching center,affordable,en,Peshawar,shop,tailor,shop__tailor
suna hai ke karachi main sab se purana musafir khana wahan hai.,musafir khana,purana,ur,Karachi,tourism,hotel,tourism__hotel
hum ne university road main aik sasta thana dekha.,thana,sasta,ur,Peshawar,amenity,police,amenity__police
agar purana chowki dhoond rahay ho to blue area jao.,chowki,purana,ur,Islamabad,amenity,police,amenity__police
there is a famous fashion outlet in raja bazaar which is very cheap.,fashion outlet,cheap,en,Rawalpindi,shop,clothes,shop__clothes
mujhay blue area ke qareeb koi behtareen police station chahiye.,police station,behtareen,ur,Islamabad,amenity,police,amenity__police
there is a famous bistro in gulshan which is very historic.,bistro,historic,en,Karachi,amenity,restaurant,amenity__restaurant
lahore ke dha main aik bohat purana cafe hai.,cafe,purana,ur,Lahore,amenity,cafe,amenity__cafe
peshawar ke hayatabad main aik bohat purana bagh hai.,bagh,purana,ur,Peshawar,leisure,park,leisure__park
we visited the most best grocery store in rawalpindi yesterday.,grocery store,best,en,Rawalpindi,shop,convenience,shop__convenience
blue area wala dukaan kaafi purana hai.,dukaan,purana,ur,Islamabad,shop,convenience,shop__convenience
agar mashoor restaurant dhoond rahay ho to saddar jao.,restaurant,mashoor,ur,Peshawar,amenity,restaurant,amenity__restaurant
university road main jo thana hai wo bohat qareebi hai.,thana,qareebi,ur,Peshawar,amenity,police,amenity__police
"avoid the mini mart in liberty market, it is not luxury.",mini mart,luxury,en,Lahore,shop,convenience,shop__convenience
does karachi have any best stitching center for tourists?,stitching center,best,en,Karachi,shop,tailor,shop__tailor
agar pur-sukoon sauda salf ki dukaan dhoond rahay ho to commercial market jao.,sauda salf ki dukaan,pur-sukoon,ur,Rawalpindi,shop,convenience,shop__convenience
can you recommend a luxury stitching center around saddar?,stitching center,luxury,en,Peshawar,shop,tailor,shop__tailor
i am looking for a popular tea house near bahria town.,tea house,popular,en,Rawalpindi,amenity,cafe,amenity__cafe
the karkhano in peshawar has an best jogging track.,jogging track,best,en,Peshawar,leisure,park,leisure__park
lahore ke liberty market main aik bohat pur-sukoon quetta tea hotel hai.,quetta tea hotel,pur-sukoon,ur,Lahore,amenity,cafe,amenity__cafe
clifton wala tailor shop kaafi khubsurat hai.,tailor shop,khubsurat,ur,Karachi,shop,tailor,shop__tailor
"avoid the park in liberty market, it is not clean.",park,clean,en,Lahore,leisure,park,leisure__park
karachi ke tariq road main aik bohat qareebi chowki hai.,chowki,qareebi,ur,Karachi,amenity,police,amenity__police
gulshan main jo cloth market hai wo bohat qareebi hai.,cloth market,qareebi,ur,Karachi,shop,clothes,shop__clothes
hum ne saddar main aik rush wala hotel dekha.,hotel,rush wala,ur,Peshawar,amenity,restaurant,amenity__restaurant
there is a famous restaurant in gulshan which is very best.,restaurant,best,en,Karachi,amenity,restaurant,amenity__restaurant
we visited the most nearby grocery store in rawalpindi yesterday.,grocery store,nearby,en,Rawalpindi,shop,convenience,shop__convenience
suna hai ke peshawar main sab se lajawab general store wahan hai.,general store,lajawab,ur,Peshawar,shop,convenience,shop__convenience
lahore ke anarkali main aik bohat mashoor kiryana store hai.,kiryana store,mashoor,ur,Lahore,shop,convenience,shop__convenience
raja bazaar wala tikka shop kaafi mashoor hai.,tikka shop,mashoor,ur,Rawalpindi,amenity,restaurant,amenity__restaurant
does peshawar have any affordable restaurant for tourists?,restaurant,affordable,en,Peshawar,amenity,restaurant,amenity__restaurant
the commercial market in rawalpindi has an clean precinct.,precinct,clean,en,Rawalpindi,amenity,police,amenity__police
hum ne saddar main aik khubsurat chai wala dekha.,chai wala,khubsurat,ur,Karachi,amenity,cafe,amenity__cafe
"avoid the resort in karkhano, it is not cheap.",resort,cheap,en,Peshawar,tourism,hotel,tourism__hotel
mujhay raja bazaar ke qareeb koi saaf suthra thana chahiye.,thana,saaf suthra,ur,Rawalpindi,amenity,police,amenity__police
islamabad ke f-11 markaz main aik bohat saaf suthra fashion center hai.,fashion center,saaf suthra,ur,Islamabad,shop,clothes,shop__clothes
suna hai ke islamabad main sab se purana tikka shop wahan hai.,tikka shop,purana,ur,Islamabad,amenity,restaurant,amenity__restaurant
"avoid the guest house in raja bazaar, it is not famous.",guest house,famous,en,Rawalpindi,tourism,hotel,tourism__hotel
g-9 wala cafe kaafi purana hai.,cafe,purana,ur,Islamabad,amenity,cafe,amenity__cafe
mujhay defence ke qareeb koi saaf suthra quetta tea hotel chahiye.,quetta tea hotel,saaf suthra,ur,Karachi,amenity,cafe,amenity__cafe
the saddar in karachi has an affordable fashion outlet.,fashion outlet,affordable,en,Karachi,shop,clothes,shop__clothes
is there any popular tailor shop open in rawalpindi right now?,tailor shop,popular,en,Rawalpindi,shop,tailor,shop__tailor
hum ne anarkali main aik rush wala musafir khana dekha.,musafir khana,rush wala,ur,Lahore,tourism,hotel,tourism__hotel
the defence in karachi has an nearby convenience store.,convenience store,nearby,en,Karachi,shop,convenience,shop__convenience
we visited the most biggest garden in islamabad yesterday.,garden,biggest,en,Islamabad,leisure,park,leisure__park
kya peshawar main koi behtareen resort khula hai?,resort,behtareen,ur,Peshawar,tourism,hotel,tourism__hotel
"avoid the fashion outlet in saddar, it is not cheap.",fashion outlet,cheap,en,Peshawar,shop,clothes,shop__clothes
lahore ke anarkali main aik bohat behtareen dukaan hai.,dukaan,behtareen,ur,Lahore,shop,convenience,shop__convenience
raja bazaar main jo darzi hai wo bohat pur-sukoon hai.,darzi,pur-sukoon,ur,Rawalpindi,shop,tailor,shop__tailor
does karachi have any popular bistro for tourists?,bistro,popular,en,Karachi,amenity,restaurant,amenity__restaurant
kya islamabad main koi bada police station khula hai?,police station,bada,ur,Islamabad,amenity,police,amenity__police
the centaurus in islamabad has an biggest park.,park,biggest,en,Islamabad,leisure,park,leisure__park
we visited the most best fashion outlet in peshawar yesterday.,fashion outlet,best,en,Peshawar,shop,clothes,shop__clothes
hum ne bahria town main aik pur-sukoon cafe dekha.,cafe,pur-sukoon,ur,Rawalpindi,amenity,cafe,amenity__cafe
can you recommend a best precinct around commercial market?,precinct,best,en,Rawalpindi,amenity,police,amenity__police
dha main jo khanay ka center hai wo bohat behtareen hai.,khanay ka center,behtareen,ur,Lahore,amenity,restaurant,amenity__restaurant
can you recommend a nearby eatery around anarkali?,eatery,nearby,en,Lahore,amenity,restaurant,amenity__restaurant
can you recommend a crowded police station around blue area?,police station,crowded,en,Islamabad,amenity,police,amenity__police
i am looking for a nearby garment shop near gulshan.,garment shop,nearby,en,Karachi,shop,clothes,shop__clothes
is there any historic boutique open in karachi right now?,boutique,historic,en,Karachi,shop,clothes,shop__clothes
anarkali main jo chaye khana hai wo bohat khubsurat hai.,chaye khana,khubsurat,ur,Lahore,amenity,cafe,amenity__cafe
the bahria town in rawalpindi has an crowded lodge.,lodge,crowded,en,Rawalpindi,tourism,hotel,tourism__hotel
agar mehnga cloth market dhoond rahay ho to centaurus jao.,cloth market,mehnga,ur,Islamabad,shop,clothes,shop__clothes
hum ne liberty market main aik purana musafir khana dekha.,musafir khana,purana,ur,Lahore,tourism,hotel,tourism__hotel
agar khubsurat park dhoond rahay ho to university road jao.,park,khubsurat,ur,Peshawar,leisure,park,leisure__park
the saddar in peshawar has an oldest bistro.,bistro,oldest,en,Peshawar,amenity,restaurant,amenity__restaurant
karkhano wala hotel kaafi saaf suthra hai.,hotel,saaf suthra,ur,Peshawar,amenity,restaurant,amenity__restaurant
can you recommend a cheap cafe around mall road?,cafe,cheap,en,Lahore,amenity,cafe,amenity__cafe
"avoid the garment shop in saddar, it is not oldest.",garment shop,oldest,en,Peshawar,shop,clothes,shop__clothes
we visited the most biggest stitching center in islamabad yesterday.,stitching center,biggest,en,Islamabad,shop,tailor,shop__tailor
suna hai ke peshawar main sab se mehnga guest house wahan hai.,guest house,mehnga,ur,Peshawar,tourism,hotel,tourism__hotel
mujhay gulshan ke qareeb koi qareebi park chahiye.,park,qareebi,ur,Karachi,leisure,park,leisure__park
hum ne anarkali main aik pur-sukoon ground dekha.,ground,pur-sukoon,ur,Lahore,leisure,park,leisure__park
