sentence,extracted_noun,extracted_adj,language,city,osm_key,osm_value
Is there any affordable stitching center open in Rawalpindi right now?,stitching center,affordable,en,Rawalpindi,shop,tailor
Mujhay Blue Area ke qareeb koi lajawab park chahiye.,park,lajawab,ur,Islamabad,leisure,park
Agar behtareen tailor shop dhoond rahay ho to Defence jao.,tailor shop,behtareen,ur,Karachi,shop,tailor
Suna hai ke Rawalpindi main sab se mashoor khanay ka center wahan hai.,khanay ka center,mashoor,ur,Rawalpindi,amenity,restaurant
"Avoid the dining place in DHA, it is not affordable.",dining place,affordable,en,Lahore,amenity,restaurant
Kya Islamabad main koi mashoor quetta tea hotel khula hai?,quetta tea hotel,mashoor,ur,Islamabad,amenity,cafe
Lahore ke Anarkali main aik bohat bada chowki hai.,chowki,bada,ur,Lahore,amenity,police
Raja Bazaar main jo ground hai wo bohat behtareen hai.,ground,behtareen,ur,Rawalpindi,leisure,park
"Avoid the hotel in Commercial Market, it is not historic.",hotel,historic,en,Rawalpindi,tourism,hotel
Does Islamabad have any clean resort for tourists?,resort,clean,en,Islamabad,tourism,hotel
We visited the most best lodge in Rawalpindi yesterday.,lodge,best,en,Rawalpindi,tourism,hotel
Mujhay Saddar ke qareeb koi saaf suthra quetta tea hotel chahiye.,quetta tea hotel,saaf suthra,ur,Rawalpindi,amenity,cafe
Hum ne Gulshan main aik khubsurat tikka shop dekha.,tikka shop,khubsurat,ur,Karachi,amenity,restaurant
Suna hai ke Peshawar main sab se mehnga haspatal wahan hai.,haspatal,mehnga,ur,Peshawar,amenity,hospital
There is a famous hotel in Raja Bazaar which is very cheap.,hotel,cheap,en,Rawalpindi,tourism,hotel
The Raja Bazaar in Rawalpindi has an famous emergency room.,emergency room,famous,en,Rawalpindi,amenity,hospital
Islamabad ke Centaurus main aik bohat khubsurat khanay ka center hai.,khanay ka center,khubsurat,ur,Islamabad,amenity,restaurant
Is there any clean tea house open in Karachi right now?,tea house,clean,en,Karachi,amenity,cafe
Does Islamabad have any biggest mosque for tourists?,mosque,biggest,en,Islamabad,amenity,mosque
We visited the most cheap precinct in Islamabad yesterday.,precinct,cheap,en,Islamabad,amenity,police
Karachi ke Clifton main aik bohat qareebi thana hai.,thana,qareebi,ur,Karachi,amenity,police
I am looking for a luxury jogging track near Defence.,jogging track,luxury,en,Karachi,leisure,park
We visited the most popular tuck shop in Islamabad yesterday.,tuck shop,popular,en,Islamabad,shop,convenience
The G-9 in Islamabad has an popular jogging track.,jogging track,popular,en,Islamabad,leisure,park
There is a famous hotel in Gulshan which is very historic.,hotel,historic,en,Karachi,tourism,hotel
DHA main jo dhaba hai wo bohat rush wala hai.,dhaba,rush wala,ur,Lahore,amenity,restaurant
Suna hai ke Karachi main sab se mehnga shifa khana wahan hai.,shifa khana,mehnga,ur,Karachi,amenity,hospital
"Avoid the hotel in Commercial Market, it is not best.",hotel,best,en,Rawalpindi,tourism,hotel
Saddar main jo general store hai wo bohat khubsurat hai.,general store,khubsurat,ur,Rawalpindi,shop,convenience
There is a famous medical center in Bahria Town which is very affordable.,medical center,affordable,en,Rawalpindi,amenity,hospital
Gulberg main jo quetta tea hotel hai wo bohat qareebi hai.,quetta tea hotel,qareebi,ur,Lahore,amenity,cafe
Can you recommend a nearby stitching center around Tariq Road?,stitching center,nearby,en,Karachi,shop,tailor
F-11 Markaz wala tailor shop kaafi lajawab hai.,tailor shop,lajawab,ur,Islamabad,shop,tailor
Does Peshawar have any luxury tea house for tourists?,tea house,luxury,en,Peshawar,amenity,cafe
Gulshan wala cloth market kaafi pur-sukoon hai.,cloth market,pur-sukoon,ur,Karachi,shop,clothes
Mujhay Saddar ke qareeb koi purana clinic chahiye.,clinic,purana,ur,Peshawar,amenity,hospital
Hum ne Bahria Town main aik saaf suthra darzi dekha.,darzi,saaf suthra,ur,Rawalpindi,shop,tailor
We visited the most affordable cafe in Karachi yesterday.,cafe,affordable,en,Karachi,amenity,cafe
Is there any affordable emergency room open in Islamabad right now?,emergency room,affordable,en,Islamabad,amenity,hospital
Can you recommend a famous coffee shop around Karkhano?,coffee shop,famous,en,Peshawar,amenity,cafe
Kya Peshawar main koi qareebi kiryana store khula hai?,kiryana store,qareebi,ur,Peshawar,shop,convenience
"Avoid the precinct in University Road, it is not cheap.",precinct,cheap,en,Peshawar,amenity,police
Suna hai ke Islamabad main sab se saaf suthra ground wahan hai.,ground,saaf suthra,ur,Islamabad,leisure,park
"Avoid the eatery in Anarkali, it is not clean.",eatery,clean,en,Lahore,amenity,restaurant
Suna hai ke Karachi main sab se mashoor boutique wahan hai.,boutique,mashoor,ur,Karachi,shop,clothes
Kya Lahore main koi rush wala quetta tea hotel khula hai?,quetta tea hotel,rush wala,ur,Lahore,amenity,cafe
Lahore ke Liberty Market main aik bohat mashoor thana hai.,thana,mashoor,ur,Lahore,amenity,police
The G-9 in Islamabad has an clean precinct.,precinct,clean,en,Islamabad,amenity,police
Kya Islamabad main koi bada general store khula hai?,general store,bada,ur,Islamabad,shop,convenience
The Centaurus in Islamabad has an historic clinic.,clinic,historic,en,Islamabad,amenity,hospital
Can you recommend a luxury eatery around Anarkali?,eatery,luxury,en,Lahore,amenity,restaurant
Can you recommend a biggest clinic around Saddar?,clinic,biggest,en,Rawalpindi,amenity,hospital
"Avoid the tailor shop in Tariq Road, it is not luxury.",tailor shop,luxury,en,Karachi,shop,tailor
DHA wala chai wala kaafi khubsurat hai.,chai wala,khubsurat,ur,Lahore,amenity,cafe
Suna hai ke Lahore main sab se lajawab clinic wahan hai.,clinic,lajawab,ur,Lahore,amenity,hospital
We visited the most affordable tea house in Islamabad yesterday.,tea house,affordable,en,Islamabad,amenity,cafe
Agar khubsurat cafe dhoond rahay ho to Clifton jao.,cafe,khubsurat,ur,Karachi,amenity,cafe
Mujhay Saddar ke qareeb koi sasta cafe chahiye.,cafe,sasta,ur,Karachi,amenity,cafe
Hum ne Saddar main aik khubsurat darzi dekha.,darzi,khubsurat,ur,Peshawar,shop,tailor
Is there any luxury tea house open in Karachi right now?,tea house,luxury,en,Karachi,amenity,cafe
We visited the most cheap boutique in Rawalpindi yesterday.,boutique,cheap,en,Rawalpindi,shop,clothes
Can you recommend a luxury coffee shop around Liberty Market?,coffee shop,luxury,en,Lahore,amenity,cafe
The Tariq Road in Karachi has an clean precinct.,precinct,clean,en,Karachi,amenity,police
Is there any best medical center open in Peshawar right now?,medical center,best,en,Peshawar,amenity,hospital
"Avoid the hospital in Mall Road, it is not crowded.",hospital,crowded,en,Lahore,amenity,hospital
Agar saaf suthra masjid dhoond rahay ho to Gulshan jao.,masjid,saaf suthra,ur,Karachi,amenity,mosque
Suna hai ke Karachi main sab se behtareen cafe wahan hai.,cafe,behtareen,ur,Karachi,amenity,cafe
University Road wala cafe kaafi qareebi hai.,cafe,qareebi,ur,Peshawar,amenity,cafe
Is there any best boutique open in Islamabad right now?,boutique,best,en,Islamabad,shop,clothes
Hum ne Tariq Road main aik mehnga musafir khana dekha.,musafir khana,mehnga,ur,Karachi,tourism,hotel
There is a famous grand mosque in Hayatabad which is very affordable.,grand mosque,affordable,en,Peshawar,amenity,mosque
Agar sasta imambargah dhoond rahay ho to Tariq Road jao.,imambargah,sasta,ur,Karachi,amenity,mosque
Hum ne F-11 Markaz main aik purana boutique dekha.,boutique,purana,ur,Islamabad,shop,clothes
Islamabad ke F-7 main aik bohat mashoor darzi hai.,darzi,mashoor,ur,Islamabad,shop,tailor
Hum ne Gulshan main aik purana silai markaz dekha.,silai markaz,purana,ur,Karachi,shop,tailor
University Road wala chowki kaafi pur-sukoon hai.,chowki,pur-sukoon,ur,Peshawar,amenity,police
Suna hai ke Peshawar main sab se rush wala chowki wahan hai.,chowki,rush wala,ur,Peshawar,amenity,police
Suna hai ke Rawalpindi main sab se sasta kiryana store wahan hai.,kiryana store,sasta,ur,Rawalpindi,shop,convenience
We visited the most historic mosque in Rawalpindi yesterday.,mosque,historic,en,Rawalpindi,amenity,mosque
Saddar main jo silai markaz hai wo bohat mashoor hai.,silai markaz,mashoor,ur,Peshawar,shop,tailor
Lahore ke Gulberg main aik bohat purana fashion center hai.,fashion center,purana,ur,Lahore,shop,clothes
Gulshan wala guest house kaafi pur-sukoon hai.,guest house,pur-sukoon,ur,Karachi,tourism,hotel
Is there any famous boutique open in Rawalpindi right now?,boutique,famous,en,Rawalpindi,shop,clothes
I am looking for a best lodge near Tariq Road.,lodge,best,en,Karachi,tourism,hotel
Raja Bazaar wala tikka shop kaafi mashoor hai.,tikka shop,mashoor,ur,Rawalpindi,amenity,restaurant
Hum ne Anarkali main aik mashoor kapron ki dukaan dekha.,kapron ki dukaan,mashoor,ur,Lahore,shop,clothes
Suna hai ke Lahore main sab se lajawab dawa khana wahan hai.,dawa khana,lajawab,ur,Lahore,amenity,hospital
Can you recommend a historic hotel around G-9?,hotel,historic,en,Islamabad,tourism,hotel
We visited the most luxury boutique in Islamabad yesterday.,boutique,luxury,en,Islamabad,shop,clothes
Can you recommend a famous grand mosque around University Road?,grand mosque,famous,en,Peshawar,amenity,mosque
Can you recommend a affordable hospital around Bahria Town?,hospital,affordable,en,Rawalpindi,amenity,hospital
F-11 Markaz main jo shifa khana hai wo bohat behtareen hai.,shifa khana,behtareen,ur,Islamabad,amenity,hospital
There is a famous tailor shop in F-7 which is very famous.,tailor shop,famous,en,Islamabad,shop,tailor
Suna hai ke Peshawar main sab se purana imambargah wahan hai.,imambargah,purana,ur,Peshawar,amenity,mosque
Can you recommend a popular garment shop around Karkhano?,garment shop,popular,en,Peshawar,shop,clothes
Is there any nearby clothing store open in Islamabad right now?,clothing store,nearby,en,Islamabad,shop,clothes
Hum ne Mall Road main aik bada imambargah dekha.,imambargah,bada,ur,Lahore,amenity,mosque
Suna hai ke Peshawar main sab se khubsurat darzi wahan hai.,darzi,khubsurat,ur,Peshawar,shop,tailor
I am looking for a famous fashion outlet near Commercial Market.,fashion outlet,famous,en,Rawalpindi,shop,clothes
Can you recommend a popular jogging track around Centaurus?,jogging track,popular,en,Islamabad,leisure,park
Is there any crowded tailor shop open in Islamabad right now?,tailor shop,crowded,en,Islamabad,shop,tailor
There is a famous eatery in DHA which is very best.,eatery,best,en,Lahore,amenity,restaurant
Is there any clean coffee shop open in Islamabad right now?,coffee shop,clean,en,Islamabad,amenity,cafe
Saddar wala tailor shop kaafi mehnga hai.,tailor shop,mehnga,ur,Rawalpindi,shop,tailor
There is a famous hotel in Liberty Market which is very biggest.,hotel,biggest,en,Lahore,tourism,hotel
Commercial Market wala dhaba kaafi pur-sukoon hai.,dhaba,pur-sukoon,ur,Rawalpindi,amenity,restaurant
Gulberg main jo chai wala hai wo bohat khubsurat hai.,chai wala,khubsurat,ur,Lahore,amenity,cafe
We visited the most crowded tuck shop in Lahore yesterday.,tuck shop,crowded,en,Lahore,shop,convenience
Centaurus wala ground kaafi khubsurat hai.,ground,khubsurat,ur,Islamabad,leisure,park
Suna hai ke Karachi main sab se pur-sukoon khanay ka center wahan hai.,khanay ka center,pur-sukoon,ur,Karachi,amenity,restaurant
There is a famous garden in Tariq Road which is very crowded.,garden,crowded,en,Karachi,leisure,park
Does Karachi have any best stitching center for tourists?,stitching center,best,en,Karachi,shop,tailor
Mujhay Hayatabad ke qareeb koi sasta park chahiye.,park,sasta,ur,Peshawar,leisure,park
There is a famous Islamic center in DHA which is very nearby.,Islamic center,nearby,en,Lahore,amenity,mosque
Saddar main jo bagh hai wo bohat mehnga hai.,bagh,mehnga,ur,Peshawar,leisure,park
Agar saaf suthra guest house dhoond rahay ho to Blue Area jao.,guest house,saaf suthra,ur,Islamabad,tourism,hotel
Suna hai ke Lahore main sab se lajawab resort wahan hai.,resort,lajawab,ur,Lahore,tourism,hotel
Suna hai ke Islamabad main sab se sasta silai markaz wahan hai.,silai markaz,sasta,ur,Islamabad,shop,tailor
Agar saaf suthra fashion center dhoond rahay ho to Tariq Road jao.,fashion center,saaf suthra,ur,Karachi,shop,clothes
Is there any affordable boutique open in Peshawar right now?,boutique,affordable,en,Peshawar,shop,clothes
We visited the most affordable garment shop in Islamabad yesterday.,garment shop,affordable,en,Islamabad,shop,clothes
Suna hai ke Lahore main sab se bada clinic wahan hai.,clinic,bada,ur,Lahore,amenity,hospital
Does Islamabad have any historic dining place for tourists?,dining place,historic,en,Islamabad,amenity,restaurant
"Avoid the jogging track in Gulberg, it is not best.",jogging track,best,en,Lahore,leisure,park
We visited the most oldest convenience store in Karachi yesterday.,convenience store,oldest,en,Karachi,shop,convenience
Suna hai ke Lahore main sab se khubsurat police station wahan hai.,police station,khubsurat,ur,Lahore,amenity,police
The F-7 in Islamabad has an cheap boutique.,boutique,cheap,en,Islamabad,shop,clothes
Agar rush wala guest house dhoond rahay ho to Saddar jao.,guest house,rush wala,ur,Karachi,tourism,hotel
Can you recommend a best resort around Gulberg?,resort,best,en,Lahore,tourism,hotel
Does Islamabad have any biggest fashion outlet for tourists?,fashion outlet,biggest,en,Islamabad,shop,clothes
Clifton wala tailor shop kaafi khubsurat hai.,tailor shop,khubsurat,ur,Karachi,shop,tailor
I am looking for a oldest cafe near Gulshan.,cafe,oldest,en,Karachi,amenity,cafe
Peshawar ke University Road main aik bohat pur-sukoon bagh hai.,bagh,pur-sukoon,ur,Peshawar,leisure,park
I am looking for a biggest garden near Saddar.,garden,biggest,en,Karachi,leisure,park
Suna hai ke Islamabad main sab se saaf suthra haspatal wahan hai.,haspatal,saaf suthra,ur,Islamabad,amenity,hospital
Suna hai ke Lahore main sab se rush wala general store wahan hai.,general store,rush wala,ur,Lahore,shop,convenience
F-11 Markaz wala hotel kaafi bada hai.,hotel,bada,ur,Islamabad,amenity,restaurant
Mujhay DHA ke qareeb koi bada chaye khana chahiye.,chaye khana,bada,ur,Lahore,amenity,cafe
Karachi ke Gulshan main aik bohat bada bagh hai.,bagh,bada,ur,Karachi,leisure,park
I am looking for a biggest playground near Hayatabad.,playground,biggest,en,Peshawar,leisure,park
Kya Lahore main koi mehnga shifa khana khula hai?,shifa khana,mehnga,ur,Lahore,amenity,hospital
Anarkali wala khanay ka center kaafi pur-sukoon hai.,khanay ka center,pur-sukoon,ur,Lahore,amenity,restaurant
There is a famous coffee shop in Blue Area which is very best.,coffee shop,best,en,Islamabad,amenity,cafe
Liberty Market wala eid gah kaafi pur-sukoon hai.,eid gah,pur-sukoon,ur,Lahore,amenity,mosque
Suna hai ke Rawalpindi main sab se lajawab kapron ki dukaan wahan hai.,kapron ki dukaan,lajawab,ur,Rawalpindi,shop,clothes
I am looking for a crowded grand mosque near Bahria Town.,grand mosque,crowded,en,Rawalpindi,amenity,mosque
Hum ne Liberty Market main aik mashoor cloth market dekha.,cloth market,mashoor,ur,Lahore,shop,clothes
The Saddar in Karachi has an famous coffee shop.,coffee shop,famous,en,Karachi,amenity,cafe
Mujhay Saddar ke qareeb koi khubsurat dhaba chahiye.,dhaba,khubsurat,ur,Rawalpindi,amenity,restaurant
Bahria Town wala sair gah kaafi pur-sukoon hai.,sair gah,pur-sukoon,ur,Rawalpindi,leisure,park
Suna hai ke Islamabad main sab se pur-sukoon sauda salf ki dukaan wahan hai.,sauda salf ki dukaan,pur-sukoon,ur,Islamabad,shop,convenience
Agar lajawab quetta tea hotel dhoond rahay ho to Commercial Market jao.,quetta tea hotel,lajawab,ur,Rawalpindi,amenity,cafe
Raja Bazaar wala khanay ka center kaafi behtareen hai.,khanay ka center,behtareen,ur,Rawalpindi,amenity,restaurant
"Avoid the fashion outlet in Raja Bazaar, it is not biggest.",fashion outlet,biggest,en,Rawalpindi,shop,clothes
Agar pur-sukoon sauda salf ki dukaan dhoond rahay ho to Commercial Market jao.,sauda salf ki dukaan,pur-sukoon,ur,Rawalpindi,shop,convenience
I am looking for a luxury guest house near Liberty Market.,guest house,luxury,en,Lahore,tourism,hotel
Is there any crowded stitching center open in Islamabad right now?,stitching center,crowded,en,Islamabad,shop,tailor
Kya Rawalpindi main koi lajawab thana khula hai?,thana,lajawab,ur,Rawalpindi,amenity,police
Can you recommend a luxury cafe around Gulberg?,cafe,luxury,en,Lahore,amenity,cafe
Suna hai ke Rawalpindi main sab se bada darzi wahan hai.,darzi,bada,ur,Rawalpindi,shop,tailor
"Avoid the cafe in Hayatabad, it is not oldest.",cafe,oldest,en,Peshawar,amenity,cafe
Gulberg main jo guest house hai wo bohat mashoor hai.,guest house,mashoor,ur,Lahore,tourism,hotel
Can you recommend a famous medical center around Gulberg?,medical center,famous,en,Lahore,amenity,hospital
Agar mehnga darzi dhoond rahay ho to F-7 jao.,darzi,mehnga,ur,Islamabad,shop,tailor
Hum ne Tariq Road main aik saaf suthra darzi dekha.,darzi,saaf suthra,ur,Karachi,shop,tailor
Saddar wala thana kaafi pur-sukoon hai.,thana,pur-sukoon,ur,Karachi,amenity,police
Suna hai ke Peshawar main sab se rush wala imambargah wahan hai.,imambargah,rush wala,ur,Peshawar,amenity,mosque
Mujhay F-7 ke qareeb koi sasta silai markaz chahiye.,silai markaz,sasta,ur,Islamabad,shop,tailor
Hum ne Raja Bazaar main aik saaf suthra hotel dekha.,hotel,saaf suthra,ur,Rawalpindi,tourism,hotel
The F-11 Markaz in Islamabad has an luxury coffee shop.,coffee shop,luxury,en,Islamabad,amenity,cafe
Centaurus wala imambargah kaafi sasta hai.,imambargah,sasta,ur,Islamabad,amenity,mosque
There is a famous clinic in Bahria Town which is very luxury.,clinic,luxury,en,Rawalpindi,amenity,hospital
Does Lahore have any famous grocery store for tourists?,grocery store,famous,en,Lahore,shop,convenience
Hum ne Centaurus main aik khubsurat silai markaz dekha.,silai markaz,khubsurat,ur,Islamabad,shop,tailor
Suna hai ke Karachi main sab se mehnga police station wahan hai.,police station,mehnga,ur,Karachi,amenity,police
Hum ne Commercial Market main aik lajawab silai markaz dekha.,silai markaz,lajawab,ur,Rawalpindi,shop,tailor
We visited the most biggest garden in Islamabad yesterday.,garden,biggest,en,Islamabad,leisure,park
Hum ne Liberty Market main aik lajawab musafir khana dekha.,musafir khana,lajawab,ur,Lahore,tourism,hotel
Anarkali wala dawa khana kaafi qareebi hai.,dawa khana,qareebi,ur,Lahore,amenity,hospital
Karachi ke Defence main aik bohat purana hotel hai.,hotel,purana,ur,Karachi,tourism,hotel
Saddar wala police station kaafi khubsurat hai.,police station,khubsurat,ur,Rawalpindi,amenity,police
Hayatabad wala bagh kaafi khubsurat hai.,bagh,khubsurat,ur,Peshawar,leisure,park
Does Islamabad have any historic restaurant for tourists?,restaurant,historic,en,Islamabad,amenity,restaurant
Suna hai ke Peshawar main sab se mehnga sair gah wahan hai.,sair gah,mehnga,ur,Peshawar,leisure,park
Kya Rawalpindi main koi behtareen jamia masjid khula hai?,jamia masjid,behtareen,ur,Rawalpindi,amenity,mosque
Agar behtareen imambargah dhoond rahay ho to G-9 jao.,imambargah,behtareen,ur,Islamabad,amenity,mosque
Agar khubsurat dawa khana dhoond rahay ho to Clifton jao.,dawa khana,khubsurat,ur,Karachi,amenity,hospital
Kya Rawalpindi main koi sasta guest house khula hai?,guest house,sasta,ur,Rawalpindi,tourism,hotel
"Avoid the cafe in G-9, it is not historic.",cafe,historic,en,Islamabad,amenity,cafe
"Avoid the garden in Saddar, it is not best.",garden,best,en,Karachi,leisure,park
We visited the most best fashion outlet in Peshawar yesterday.,fashion outlet,best,en,Peshawar,shop,clothes
Karkhano main jo khanay ka center hai wo bohat sasta hai.,khanay ka center,sasta,ur,Peshawar,amenity,restaurant
There is a famous eatery in Defence which is very luxury.,eatery,luxury,en,Karachi,amenity,restaurant
Mujhay Defence ke qareeb koi saaf suthra dawa khana chahiye.,dawa khana,saaf suthra,ur,Karachi,amenity,hospital
Mujhay University Road ke qareeb koi rush wala restaurant chahiye.,restaurant,rush wala,ur,Peshawar,amenity,restaurant
Can you recommend a affordable boutique around DHA?,boutique,affordable,en,Lahore,shop,clothes
Hum ne Saddar main aik mehnga darzi dekha.,darzi,mehnga,ur,Karachi,shop,tailor
We visited the most biggest park in Islamabad yesterday.,park,biggest,en,Islamabad,leisure,park
The Centaurus in Islamabad has an biggest park.,park,biggest,en,Islamabad,leisure,park
Mujhay Commercial Market ke qareeb koi saaf suthra quetta tea hotel chahiye.,quetta tea hotel,saaf suthra,ur,Rawalpindi,amenity,cafe
"Avoid the mosque in Hayatabad, it is not famous.",mosque,famous,en,Peshawar,amenity,mosque
Mall Road main jo bagh hai wo bohat sasta hai.,bagh,sasta,ur,Lahore,leisure,park
Agar khubsurat park dhoond rahay ho to Anarkali jao.,park,khubsurat,ur,Lahore,leisure,park
We visited the most crowded park in Lahore yesterday.,park,crowded,en,Lahore,leisure,park
Kya Karachi main koi mashoor guest house khula hai?,guest house,mashoor,ur,Karachi,tourism,hotel
Agar pur-sukoon jamia masjid dhoond rahay ho to Clifton jao.,jamia masjid,pur-sukoon,ur,Karachi,amenity,mosque
There is a famous hospital in University Road which is very clean.,hospital,clean,en,Peshawar,amenity,hospital
Rawalpindi ke Raja Bazaar main aik bohat sasta haspatal hai.,haspatal,sasta,ur,Rawalpindi,amenity,hospital
Hum ne Saddar main aik bada cafe dekha.,cafe,bada,ur,Rawalpindi,amenity,cafe
Is there any historic mini mart open in Islamabad right now?,mini mart,historic,en,Islamabad,shop,convenience
I am looking for a crowded resort near F-11 Markaz.,resort,crowded,en,Islamabad,tourism,hotel
Does Lahore have any oldest stitching center for tourists?,stitching center,oldest,en,Lahore,shop,tailor
Is there any luxury lodge open in Karachi right now?,lodge,luxury,en,Karachi,tourism,hotel
Peshawar ke Hayatabad main aik bohat qareebi tikka shop hai.,tikka shop,qareebi,ur,Peshawar,amenity,restaurant
We visited the most cheap Islamic center in Lahore yesterday.,Islamic center,cheap,en,Lahore,amenity,mosque
Mujhay Hayatabad ke qareeb koi lajawab masjid chahiye.,masjid,lajawab,ur,Peshawar,amenity,mosque
There is a famous emergency room in Gulberg which is very luxury.,emergency room,luxury,en,Lahore,amenity,hospital
Kya Rawalpindi main koi behtareen imambargah khula hai?,imambargah,behtareen,ur,Rawalpindi,amenity,mosque
There is a famous grocery store in Blue Area which is very biggest.,grocery store,biggest,en,Islamabad,shop,convenience
Mujhay DHA ke qareeb koi behtareen dukaan chahiye.,dukaan,behtareen,ur,Lahore,shop,convenience
Does Lahore have any luxury park for tourists?,park,luxury,en,Lahore,leisure,park
Suna hai ke Rawalpindi main sab se khubsurat park wahan hai.,park,khubsurat,ur,Rawalpindi,leisure,park
Does Peshawar have any nearby bistro for tourists?,bistro,nearby,en,Peshawar,amenity,restaurant
Mujhay Gulshan ke qareeb koi mehnga ground chahiye.,ground,mehnga,ur,Karachi,leisure,park
Is there any historic bistro open in Peshawar right now?,bistro,historic,en,Peshawar,amenity,restaurant
There is a famous hotel in Gulberg which is very famous.,hotel,famous,en,Lahore,tourism,hotel
We visited the most oldest police station in Karachi yesterday.,police station,oldest,en,Karachi,amenity,police
Is there any cheap cafe open in Karachi right now?,cafe,cheap,en,Karachi,amenity,cafe
Suna hai ke Karachi main sab se lajawab jamia masjid wahan hai.,jamia masjid,lajawab,ur,Karachi,amenity,mosque
Agar purana chowki dhoond rahay ho to Blue Area jao.,chowki,purana,ur,Islamabad,amenity,police
Mall Road main jo police station hai wo bohat qareebi hai.,police station,qareebi,ur,Lahore,amenity,police
"Avoid the precinct in Gulberg, it is not clean.",precinct,clean,en,Lahore,amenity,police
Hum ne Saddar main aik rush wala hotel dekha.,hotel,rush wala,ur,Peshawar,amenity,restaurant
F-11 Markaz main jo tailor shop hai wo bohat mehnga hai.,tailor shop,mehnga,ur,Islamabad,shop,tailor
There is a famous boutique in Anarkali which is very luxury.,boutique,luxury,en,Lahore,shop,clothes
Suna hai ke Karachi main sab se bada silai markaz wahan hai.,silai markaz,bada,ur,Karachi,shop,tailor
There is a famous clothing store in Mall Road which is very nearby.,clothing store,nearby,en,Lahore,shop,clothes
"Avoid the grand mosque in Raja Bazaar, it is not luxury.",grand mosque,luxury,en,Rawalpindi,amenity,mosque
Islamabad ke F-7 main aik bohat mashoor cloth market hai.,cloth market,mashoor,ur,Islamabad,shop,clothes
Mujhay G-9 ke qareeb koi qareebi silai markaz chahiye.,silai markaz,qareebi,ur,Islamabad,shop,tailor
Suna hai ke Peshawar main sab se pur-sukoon boutique wahan hai.,boutique,pur-sukoon,ur,Peshawar,shop,clothes
Can you recommend a cheap mini mart around Blue Area?,mini mart,cheap,en,Islamabad,shop,convenience
Agar qareebi eid gah dhoond rahay ho to DHA jao.,eid gah,qareebi,ur,Lahore,amenity,mosque
Can you recommend a oldest tea house around Saddar?,tea house,oldest,en,Rawalpindi,amenity,cafe
Hum ne Defence main aik mashoor musafir khana dekha.,musafir khana,mashoor,ur,Karachi,tourism,hotel
"Avoid the park in Saddar, it is not famous.",park,famous,en,Rawalpindi,leisure,park
Hum ne Commercial Market main aik pur-sukoon guest house dekha.,guest house,pur-sukoon,ur,Rawalpindi,tourism,hotel
Lahore ke Anarkali main aik bohat sasta clinic hai.,clinic,sasta,ur,Lahore,amenity,hospital
Islamabad ke F-11 Markaz main aik bohat behtareen masjid hai.,masjid,behtareen,ur,Islamabad,amenity,mosque
Karachi ke Defence main aik bohat bada kapron ki dukaan hai.,kapron ki dukaan,bada,ur,Karachi,shop,clothes
The Bahria Town in Rawalpindi has an biggest grocery store.,grocery store,biggest,en,Rawalpindi,shop,convenience
Can you recommend a affordable police station around Saddar?,police station,affordable,en,Rawalpindi,amenity,police
There is a famous resort in Raja Bazaar which is very historic.,resort,historic,en,Rawalpindi,tourism,hotel
Hum ne Clifton main aik rush wala dawa khana dekha.,dawa khana,rush wala,ur,Karachi,amenity,hospital
There is a famous clothing store in Raja Bazaar which is very luxury.,clothing store,luxury,en,Rawalpindi,shop,clothes
Centaurus wala cloth market kaafi lajawab hai.,cloth market,lajawab,ur,Islamabad,shop,clothes
University Road wala ground kaafi mashoor hai.,ground,mashoor,ur,Peshawar,leisure,park
Is there any popular guest house open in Lahore right now?,guest house,popular,en,Lahore,tourism,hotel
I am looking for a clean precinct near Gulberg.,precinct,clean,en,Lahore,amenity,police
Anarkali main jo restaurant hai wo bohat rush wala hai.,restaurant,rush wala,ur,Lahore,amenity,restaurant
Hum ne F-7 main aik rush wala thana dekha.,thana,rush wala,ur,Islamabad,amenity,police
I am looking for a oldest tuck shop near Liberty Market.,tuck shop,oldest,en,Lahore,shop,convenience
We visited the most affordable tailor shop in Rawalpindi yesterday.,tailor shop,affordable,en,Rawalpindi,shop,tailor
Liberty Market wala shifa khana kaafi saaf suthra hai.,shifa khana,saaf suthra,ur,Lahore,amenity,hospital
Can you recommend a luxury clothing store around Hayatabad?,clothing store,luxury,en,Peshawar,shop,clothes
"Avoid the cafe in DHA, it is not luxury.",cafe,luxury,en,Lahore,amenity,cafe
There is a famous Islamic center in Commercial Market which is very crowded.,Islamic center,crowded,en,Rawalpindi,amenity,mosque
Suna hai ke Karachi main sab se rush wala chai wala wahan hai.,chai wala,rush wala,ur,Karachi,amenity,cafe
Islamabad ke G-9 main aik bohat mehnga musafir khana hai.,musafir khana,mehnga,ur,Islamabad,tourism,hotel
Is there any clean garden open in Rawalpindi right now?,garden,clean,en,Rawalpindi,leisure,park
Does Islamabad have any clean tailor shop for tourists?,tailor shop,clean,en,Islamabad,shop,tailor
Karachi ke Tariq Road main aik bohat qareebi chowki hai.,chowki,qareebi,ur,Karachi,amenity,police
Rawalpindi ke Saddar main aik bohat lajawab darzi hai.,darzi,lajawab,ur,Rawalpindi,shop,tailor
We visited the most nearby precinct in Karachi yesterday.,precinct,nearby,en,Karachi,amenity,police
The DHA in Lahore has an oldest clinic.,clinic,oldest,en,Lahore,amenity,hospital
I am looking for a oldest garment shop near F-7.,garment shop,oldest,en,Islamabad,shop,clothes
